Full_Name,Email,Age,Region,Salary,City
emily joNES,emily.jones_7266@example.com,35,East,108727,Sydney
aLICE SMITh,alice.smith_6164@example.com,52,East,53362,Sydney
boB davIS,bob.davis_4180@example.com,29,,104605,Bangalore
CHriS MiLlER,chris.miller_4302@example.com,51 years,,"$54,603",Mumbai
ANna JohnsON,anna.johnson_1217@example.com,39,,50761,Berlin
mIKE brOWn,mike.brown_1802@example.com,51,,102246,Mumbai
ALIcE MiLLer,alice.miller_9810@example.com,54,North,102080,New York
cHRis brOwn,chris.brown_1338@example.com,56,East,65926,Mumbai
BOb GaRCia,bob.garcia_8436@example.com,31,North,43545,Mumbai
mIkE mILLER,mike.miller_6706@example.com,40,,67507,Mumbai
emily davIs,emily.davis_8892@example.com,57,East,101587,New York
JANE garcia,jane.garcia_7718@example.com,42,South,97573,Berlin
aLicE MILLeR,alice.miller_8154@example.com,42,West,32446,Bangalore
BOb JoNES,bob.jones_2194@example.com,34,,64499,Bangalore
janE MILlEr,jane.miller_8695@example.com,52 years,South,75809,Sydney
bOb bRown,bob.brown_6378@example.com,22,,90529,London
BOB gaRCia,bob.garcia_1843@example.com,33,,110947,New York
JOHN WILLiams,john.williams_5947@example.com,52,North,112004,Tokyo
eMiLy joNes,emily.jones_8163@example.com,38,,88819,Toronto
emiLy milLER,emily.miller_2295@example.com,31,South,106707,Sydney
John daVIS,john.davis_2124@example.com,60,West,38204,Toronto
JOhn DaviS,john.davis_7332@example.com,43,,68899,London
CHris JOhNSON,chris.johnson_9212@example.com,38,West,39405,Toronto
EMIlY JONeS,emily.jones_6500@example.com,43,,50924,Sydney
jOhn JOHnSOn,john.johnson_2736@example.com,45,East,82676,Toronto
EMILy joNeS,emily.jones_6666@example.com,22,South,68257,Mumbai
EmILY JOhNSOn,emily.johnson_7254@example.com,58,West,49522,Berlin
jOhN MILleR,john.miller_3355@example.com,38,East,86099,Tokyo
cHRIS bROWN,chris.brown_6278@example.com,39,South,64797,Berlin
mIkE smith,mike.smith_9772@example.com,46,South,54819,New York
joHn WIllIAmS,john.williams_7829@example.com,33,,69501,Mumbai
jANe gaRCIa,jane.garcia_7005@example.com,31,South,51976,Mumbai
jANe JONeS,jane.jones_5066@example.com,47,,115459,Mumbai
jOHn SmItH,john.smith_2598@example.com,21,North,68155,Toronto
John WILLiAMS,john.williams_3010@example.com,60,,75176,Toronto
EmiLY JOhNson,emily.johnson_8622@example.com,49,,55981,Berlin
JanE joneS,jane.jones_9080@example.com,24,South,"$118,813",London
aNnA brOWn,anna.brown_8198@example.com,23,,94246,Berlin
ChriS jOhNson,chris.johnson_9706@example.com,58,,109703,New York
eMilY joHnsON,emily.johnson_7281@example.com,35,South,106782,Tokyo
jaNe bRowN,jane.brown_4874@example.com,28,East,68540,Berlin
alICe wiLliams,alice.williams_7138@example.com,29,North,101991,New York
jOHn joHNsOn,john.johnson_6411@example.com,24,,84767,New York
JaNE gArCiA,jane.garcia_1317@example.com,53,,61621,Sydney
jane SMITh,jane.smith_7308@example.com,49,South,69865,Mumbai
jaNE miLLEr,jane.miller_9920@example.com,29,West,95913,Berlin
ANna SmiTh,anna.smith_7586@example.com,38,North,43898,Bangalore
joHn BROwN,john.brown_7341@example.com,22,East,112557,New York
Mike dAVIs,mike.davis_5542@example.com,51,North,119895,New York
MiKE sMith,mike.smith_5700@example.com,37,West,114502,Berlin
chRIS BroWn,chris.brown_2244@example.com,20,North,111845,Mumbai
anNA willIAmS,anna.williams_3312@example.com,20,East,36222 USD,New York
jOHN WillIAMs,john.williams_2011@example.com,49,South,53509,Bangalore
AnNa bRowN,anna.brown_5792@example.com,37,South,78912,Bangalore
CHriS wiLliAmS,chris.williams_4322@example.com,30,,97127,Berlin
ANnA mIlLER,anna.miller_8779@example.com,29,West,40958 USD,Tokyo
JAne wIllIAms,jane.williams_8361@example.com,55,North,87657,Sydney
Bob SMITH,bob.smith_3375@example.com,48,South,114720,London
chrIS DAViS,chris.davis_9836@example.com,51,,56118,New York
ANna sMITh,anna.smith_8740@example.com,23,,119392,New York
EMILy millER,emily.miller_5721@example.com,56,East,92406,Tokyo
eMILY SmiTH,emily.smith_3512@example.com,31,East,41853,Toronto
JohN JohNSon,john.johnson_5342@example.com,55,East,72046,New York
johN JOnes,john.jones_1989@example.com,42,North,100022,Bangalore
aNnA Jones,anna.jones_6373@example.com,57,,92539,Bangalore
AlIcE joNes,alice.jones_4811@example.com,59,North,111264,Tokyo
cHRis jOHnsON,chris.johnson_2469@example.com,55,,32331,Mumbai
jAne jones,jane.jones_9646@example.com,43,East,73769,Mumbai
EMiLy gARcia,emily.garcia_2807@example.com,42,South,92718,Bangalore
Bob mILlER,bob.miller_9342@example.com,31,West,79403,Tokyo
jANE WILLiaMs,jane.williams_5487@example.com,46,West,90843,London
alICe JoHNsOn,alice.johnson_2933@example.com,21,South,105849,Toronto
boB JoHNson,bob.johnson_5671@example.com,55,,69178,Toronto
JOhN SmITh,john.smith_3000@example.com,59,North,119967,Berlin
AnnA SmItH,anna.smith_1983@example.com,34,South,33974,Sydney
Alice dAviS,alice.davis_9388@example.com,18,West,35079,Sydney
MIKe jOnEs,mike.jones_9143@example.com,57,North,104532,Tokyo
MIKE JONES,mike.jones_7879@example.com,52,North,116635,New York
BoB DavIS,bob.davis_5706@example.com,46,South,88282,Berlin
JoHN wiLlIAmS,john.williams_3395@example.com,51,West,63098,Bangalore
aNNA jONes,anna.jones_5680@example.com,56,,74543,Tokyo
aLiCe JOnEs,alice.jones_1143@example.com,48,South,"$89,334",Tokyo
ANnA MiLleR,anna.miller_1226@example.com,20,,90107,Bangalore
eMily jones,emily.jones_3926@example.com,45,West,61593,Sydney
CHris DAvIs,chris.davis_7350@example.com,38,,49684,Tokyo
ChriS GaRCia,chris.garcia_6162@example.com,50,,67836,Bangalore
jANe wILLIAMs,jane.williams_2740@example.com,43,,"$78,981",Sydney
MIKe GarCIA,mike.garcia_7117@example.com,54,North,67519,Berlin
MIKe joNES,mike.jones_6427@example.com,52,North,45385,Bangalore
ANNA Smith,anna.smith_9876@example.com,53,West,62199,Sydney
John BROWN,john.brown_8050@example.com,21,,30214,Tokyo
JAnE MILleR,jane.miller_2711@example.com,26,East,98208,London
JaNE GARcIa,jane.garcia_7084@example.com,58,North,43440,Toronto
aNNa DaViS,anna.davis_8735@example.com,50,,90609,Tokyo
boB WIlLIaMs,bob.williams_7069@example.com,21,South,43912,Mumbai
aLicE BrOWn,alice.brown_9809@example.com,44,East,116984,Bangalore
MIKe joNes,mike.jones_7507@example.com,34,North,67755,Mumbai
jAne brown,jane.brown_2600@example.com,25,,80557,Mumbai
ANNa WiLliaMs,anna.williams_7919@example.com,18,East,70997,Tokyo
bOB jONES,bob.jones_8551@example.com,39,South,34008,Bangalore
ALIce WILLIams,alice.williams_9676@example.com,54 years,South,46477,Berlin
chrIs GaRCiA,chris.garcia_9087@example.com,42,West,53991,Tokyo
bob joHnSON,bob.johnson_1698@example.com,19,,109159,Tokyo
BoB GArcia,bob.garcia_6150@example.com,48,East,105220,Berlin
ChRiS MilLer,chris.miller_3364@example.com,35,North,72921,Sydney
BoB JOhnSoN,bob.johnson_2893@example.com,56,,113328,Bangalore
mIkE SmitH,mike.smith_2646@example.com,33 years,South,40982,Toronto
EMILY daVIS,emily.davis_6045@example.com,39,South,39022,Toronto
Alice JOhnsON,alice.johnson_1353@example.com,53,North,66775,Berlin
ANNa BroWN,anna.brown_9952@example.com,52 years,South,113671 USD,Berlin
MIke wiLLIAMs,mike.williams_3228@example.com,54,East,100563,Mumbai
mIKE Davis,mike.davis_6797@example.com,54,,73858,Tokyo
AnnA BrOwN,anna.brown_3281@example.com,43,,83843,Bangalore
Emily BrOWN,emily.brown_7321@example.com,21,South,58570,New York
alice dAvIs,alice.davis_6059@example.com,30,South,41556,Berlin
miKE bRown,mike.brown_7609@example.com,18,West,112790,Toronto
JaNE JOHNSon,jane.johnson_4249@example.com,30,West,"$82,112",Toronto
MikE Jones,mike.jones_7892@example.com,22,,93436,Toronto
JOhN DaviS,john.davis_3660@example.com,53,,115327,Sydney
mIKe smIth,mike.smith_7600@example.com,38,,"$60,572",London
ANNA DAVIS,anna.davis_1629@example.com,58,,97236,Toronto
AliCE SMITH,alice.smith_9223@example.com,20,West,51481,New York
aLICE JohNSON,alice.johnson_3819@example.com,19,South,"$67,464",Bangalore
emiLY millEr,emily.miller_4412@example.com,60,North,75229,Sydney
ANNA MILleR,anna.miller_3138@example.com,46,West,96895,Sydney
eMILY jONES,emily.jones_3811@example.com,46,East,78512,Sydney
mIke miLlEr,mike.miller_4716@example.com,30,North,95839,Bangalore
boB daViS,bob.davis_2730@example.com,47,,87645,Mumbai
emilY daviS,emily.davis_5222@example.com,39,South,48973,London
John sMith,john.smith_8914@example.com,37,,76288,London
John SMiTH,john.smith_5359@example.com,27,East,110541,London
emily DaVIs,emily.davis_2011@example.com,49 years,South,66878 USD,Mumbai
ChriS dAvis,chris.davis_9400@example.com,35,,"$101,871",New York
JOhn JONES,john.jones_5319@example.com,46 years,,39263,Toronto
MikE jOnes,mike.jones_9993@example.com,47,North,37411,Berlin
EMIlY milLER,emily.miller_4265@example.com,44,,87167,Tokyo
aliCE jOnES,alice.jones_8705@example.com,41,South,30026,Mumbai
anna gARcIA,anna.garcia_9569@example.com,42,South,118618,Tokyo
CHRiS JOnES,chris.jones_2311@example.com,40,East,58254,Mumbai
MIkE WILliAmS,mike.williams_3410@example.com,35,,35985,Toronto
ChRis GARcIA,chris.garcia_6873@example.com,39,South,34563,Tokyo
Jane SMIth,jane.smith_3870@example.com,28,,51803,Toronto
jaNe DAVIs,jane.davis_1700@example.com,55,West,86967,New York
eMily gARciA,emily.garcia_6061@example.com,46,North,63317 USD,Toronto
MIkE jOHNsoN,mike.johnson_4913@example.com,26,East,117872,Bangalore
EMily JoHnson,emily.johnson_7373@example.com,50,South,56531,Mumbai
johN WiLLIaMs,john.williams_9237@example.com,45,East,69814,London
aLice GarCIa,alice.garcia_7439@example.com,37,,90270,Tokyo
bOb GArCia,bob.garcia_1641@example.com,41,South,"$100,508",New York
emiLy WilLIamS,emily.williams_7968@example.com,41,South,51967,Sydney
ALiCe WILLiAMS,alice.williams_4058@example.com,32,North,118494,London
jANE WILLIAms,jane.williams_7531@example.com,36,East,78229,Sydney
aLIce SMITh,alice.smith_6894@example.com,28,North,36002,London
johN JonEs,john.jones_4636@example.com,31,,113167,Mumbai
JOHn BroWN,john.brown_5606@example.com,25,,82812,Toronto
alice JOneS,alice.jones_5863@example.com,51,North,114772,Tokyo
bOB jonEs,bob.jones_7126@example.com,60,South,103906,Sydney
BOB jONeS,bob.jones_8793@example.com,49,West,47254,New York
JAnE JOHnson,jane.johnson_9687@example.com,29,West,73819,Sydney
eMILY MiLlEr,emily.miller_5903@example.com,28,,42111,London
CHRis JOhNSon,chris.johnson_2760@example.com,58,North,81199,Mumbai
Mike WiLlIAMs,mike.williams_8374@example.com,31,West,56866,Berlin
anNA johnSON,anna.johnson_2569@example.com,21,North,45379,London
JoHn daVIs,john.davis_9361@example.com,57,East,55106,Sydney
anna jOnEs,anna.jones_6754@example.com,32,,94171,Sydney
ChRIs jOHNSOn,chris.johnson_9905@example.com,56,North,86074,Berlin
MikE johNsOn,mike.johnson_6551@example.com,56,East,"$80,258",Toronto
chris johnsON,chris.johnson_9485@example.com,29,North,99422,Mumbai
bob WIlliAMs,bob.williams_4247@example.com,20,West,75117,Berlin
Jane gaRcIa,jane.garcia_6238@example.com,54,,100468,Tokyo
annA dAvIS,anna.davis_3558@example.com,31,West,113809,Bangalore
jANe JoneS,jane.jones_2951@example.com,55,North,113026,London
MiKE miLLeR,mike.miller_6552@example.com,20,,36834,Sydney
emily JohnSon,emily.johnson_7244@example.com,56,South,78474,Sydney
emiLy wIlliAmS,emily.williams_6628@example.com,28,West,"$79,915",Sydney
AlIce WIlliAms,alice.williams_1715@example.com,49,North,94188,Bangalore
jOhn Miller,john.miller_1832@example.com,42,North,101268,Sydney
JOHN SMIth,john.smith_3459@example.com,58,,109573,New York
JAnE JOHnSON,jane.johnson_7037@example.com,50,,66592,Sydney
aLICE WiLLIAmS,alice.williams_9702@example.com,40,South,78028,Sydney
JoHn wiLLiamS,john.williams_3244@example.com,28,,"$35,571",Toronto
chrIS SMiTh,chris.smith_9096@example.com,46,East,93346,Mumbai
EMily jonES,emily.jones_4484@example.com,40 years,West,60894,Sydney
jANE WiLlIAmS,jane.williams_6209@example.com,23,West,86072,Sydney
bOb gArcIA,bob.garcia_9723@example.com,38,,57487,Toronto
AlIce gARCIA,alice.garcia_7312@example.com,49 years,South,51172,Toronto
mIKe jONeS,mike.jones_9035@example.com,19,South,78843,London
aNNA jOHnSon,anna.johnson_8731@example.com,29,,76186,London
AlICE Brown,alice.brown_2052@example.com,60,South,95527,Berlin
ANna davIs,anna.davis_1717@example.com,45,West,103679,Tokyo
AlIcE wiLLIaMs,alice.williams_4065@example.com,27,South,106483,New York
JaNe SmiTH,jane.smith_5658@example.com,32,South,74959,Bangalore
AnnA joNEs,anna.jones_9460@example.com,35,North,82551,New York
BoB gaRCIA,bob.garcia_9284@example.com,34 years,South,99931,London
annA BRowN,anna.brown_7652@example.com,33,,43055,Sydney
aliCe wILLiamS,alice.williams_2722@example.com,21,,105138,London
aLIce SmITh,alice.smith_7586@example.com,32,North,83145,Tokyo
jane joneS,jane.jones_1380@example.com,47,West,97004,Mumbai
ANnA SmitH,anna.smith_2005@example.com,41,,32561,Berlin
chriS bROwn,chris.brown_5101@example.com,52,East,98307,Bangalore
JANe sMITh,jane.smith_7431@example.com,18,,75596,Bangalore
jAne WillIAmS,jane.williams_6391@example.com,60,South,61045,Bangalore
ALIce mILlEr,alice.miller_7887@example.com,48,South,50682,London
mIkE wilLiAmS,mike.williams_5962@example.com,51,East,34888,London
MiKE WilliaMS,mike.williams_6914@example.com,42,South,112430,Sydney
emILY miLLeR,emily.miller_7610@example.com,37,South,84548,Toronto
JOhn BrOwn,john.brown_9167@example.com,37,,112261,Bangalore
JAnE WillIaMS,jane.williams_3266@example.com,38,East,118979,Toronto
JoHN gArCiA,john.garcia_6367@example.com,54,,108718,Berlin
chRIS bRoWn,chris.brown_6363@example.com,28,,66635,Bangalore
mIkE garcIa,mike.garcia_2549@example.com,18,North,110936,Sydney
EMily gArCIA,emily.garcia_1036@example.com,33,,41324,Mumbai
eMILY davIs,emily.davis_8857@example.com,51,East,58904,New York
JaNe JOnes,jane.jones_6660@example.com,56,North,72602,Tokyo
boB GarCiA,bob.garcia_8768@example.com,48,South,"$80,920",London
JoHn wIlliAMS,john.williams_4150@example.com,56,,104842,Bangalore
cHrIs JOHnSON,chris.johnson_9385@example.com,53,North,105152,Tokyo
Mike BROWN,mike.brown_1002@example.com,52,South,75498,Berlin
EMILy MIlLeR,emily.miller_9264@example.com,36,,35054,Mumbai
AnNA SmIth,anna.smith_7267@example.com,41,,70064,London
Emily sMiTH,emily.smith_3774@example.com,20,West,65322,London
CHriS MIlleR,chris.miller_8678@example.com,60,,54283,Bangalore
chrIs millER,chris.miller_7183@example.com,48,East,72677,Toronto
mIke MiLLEr,mike.miller_8389@example.com,19,,94295,Mumbai
chRiS WillIaMs,chris.williams_5545@example.com,40,North,97022,Bangalore
JoHn mIlLer,john.miller_9693@example.com,21,South,61212,London
jOhn MILlER,john.miller_6045@example.com,46,,98298 USD,New York
chRIs WILLiams,chris.williams_1679@example.com,29,East,110294,London
jANe sMITH,jane.smith_9002@example.com,21,East,85088,Mumbai
eMily davIs,emily.davis_5075@example.com,54,West,53229,Bangalore
anNa WIllIamS,anna.williams_1275@example.com,41,,95055,New York
jAne JOneS,jane.jones_9889@example.com,43,East,81879,Sydney
Jane miLler,jane.miller_5163@example.com,53,,33075,Toronto
BOb DAViS,bob.davis_3769@example.com,18,,101637,London
jOhN sMiTh,john.smith_4358@example.com,55,North,94212,London
Anna GARcIa,anna.garcia_5868@example.com,24,North,50950,Mumbai
alICE miLLeR,alice.miller_6872@example.com,44,East,107102,Mumbai
BOB WIlLiAms,bob.williams_1144@example.com,33,,89007,New York
aliCe GarcIa,alice.garcia_4845@example.com,53,West,55926,Tokyo
Jane BroWN,jane.brown_8829@example.com,28,North,106239,London
ChriS joneS,chris.jones_9130@example.com,22,North,114631 USD,Toronto
boB WiLLIAmS,bob.williams_5172@example.com,52,West,49143,London
ChRiS mILLEr,chris.miller_6458@example.com,19,,70629,Sydney
bOB Brown,bob.brown_8691@example.com,44,South,48721,Bangalore
aLICE DAVIS,alice.davis_1254@example.com,26,South,41785,Mumbai
AlIce jOHNSoN,alice.johnson_9028@example.com,28,West,86984,Berlin
EMily JOnEs,emily.jones_6774@example.com,49,East,36571,Berlin
EmILY BrowN,emily.brown_2874@example.com,18,South,59105,Berlin
emiLy SMitH,emily.smith_3703@example.com,57,,114441,Sydney
ChRIS smiTH,chris.smith_6173@example.com,24,West,76431,Toronto
aliCE JOhnsON,alice.johnson_6459@example.com,50,East,75412,London
joHN BRowN,john.brown_3859@example.com,47,South,91060,New York
Jane smiTh,jane.smith_2036@example.com,46,South,87550,Mumbai
JOhn SMITH,john.smith_6608@example.com,59,,68697,Sydney
chRiS wILliaMs,chris.williams_8425@example.com,51,,75985,Mumbai
annA miLlER,anna.miller_6916@example.com,41,,74101,Toronto
EMiLy bROwN,emily.brown_3965@example.com,34,,57115 USD,Bangalore
BOb MiLLeR,bob.miller_1831@example.com,42 years,South,61774,Mumbai
boB DAViS,bob.davis_6137@example.com,37,East,47883,Toronto
aLICE gARCIa,alice.garcia_1429@example.com,37,West,37251,Berlin
aNNa johNsoN,anna.johnson_3180@example.com,32,,87678,Tokyo
ANNA SmItH,anna.smith_4172@example.com,34,North,"$47,070",Bangalore
JAnE daViS,jane.davis_6801@example.com,21,East,58719 USD,Toronto
Chris JoHNson,chris.johnson_4316@example.com,33 years,East,116766,Mumbai
boB GarCia,bob.garcia_1934@example.com,58,,33805,Tokyo
BOb BRown,bob.brown_4704@example.com,49,South,"$70,827",Bangalore
CHRIs gARcia,chris.garcia_6070@example.com,31,North,110129,Mumbai
eMILY sMIth,emily.smith_6344@example.com,23,East,40252,Sydney
aLICe JOneS,alice.jones_8320@example.com,33,,87050,Sydney
bOB BROWn,bob.brown_8874@example.com,54,East,55089,Toronto
aLIcE wiLLiAMs,alice.williams_1594@example.com,51,West,88035,Tokyo
bOb gARCIa,bob.garcia_2257@example.com,45,South,"$30,924",Bangalore
chRiS JOhnSOn,chris.johnson_2752@example.com,29,South,30673,Berlin
JoHn BROWN,john.brown_6839@example.com,31,,114319,Mumbai
aLiCE sMITH,alice.smith_2971@example.com,24,,33734,Berlin
JAne jONES,jane.jones_9051@example.com,49,East,71177,Tokyo
AlICE smITH,alice.smith_5194@example.com,53,East,58386,Bangalore
MIKE JOhNsoN,mike.johnson_7706@example.com,29,North,103292,Toronto
Emily willIAmS,emily.williams_3755@example.com,55,,"$57,077",London
ALiCe JoNEs,alice.jones_5072@example.com,41,,54533 USD,New York
joHn JOnEs,john.jones_2612@example.com,26,West,82967,Mumbai
johN jOHNSON,john.johnson_1184@example.com,42,West,84064,London
AnnA dAVIS,anna.davis_7965@example.com,46,East,62454,Bangalore
ChriS BRowN,chris.brown_2866@example.com,22,East,36063 USD,Bangalore
MikE DAVIs,mike.davis_6243@example.com,42 years,East,63597 USD,Bangalore
alIcE mILLEr,alice.miller_6972@example.com,44,East,86879,Toronto
EMILY JoHNSoN,emily.johnson_2155@example.com,57,West,81342,Tokyo
cHRIs JOHNsON,chris.johnson_1190@example.com,58,East,93410,Tokyo
eMiLy MILLeR,emily.miller_6934@example.com,44,,92317,Bangalore
miKe BrOwN,mike.brown_8090@example.com,60,North,57478,New York
BOb SmITh,bob.smith_4242@example.com,27,,98990,Tokyo
jOHN WilLIAmS,john.williams_6277@example.com,41 years,South,109972,Toronto
aNNa JOnes,anna.jones_4981@example.com,54,South,47503,Sydney
JAne bRowN,jane.brown_4382@example.com,22,,110246,Tokyo
ALiCe gaRCIa,alice.garcia_7579@example.com,32,,"$50,573",Sydney
bOB JOhNSON,bob.johnson_6731@example.com,39,North,105368,London
aLice SMIth,alice.smith_4966@example.com,31,East,91533,Tokyo
bOb gARcia,bob.garcia_5014@example.com,30,South,118512,Tokyo
emIly DaViS,emily.davis_9559@example.com,33,East,85411,Sydney
AlIce JOnES,alice.jones_4258@example.com,57,North,75233 USD,Mumbai
annA MIller,anna.miller_9710@example.com,52,North,"$58,668",Toronto
JOhn johnSoN,john.johnson_5771@example.com,37,East,88605,Tokyo
joHn BroWn,john.brown_4071@example.com,58,,111197,Tokyo
MIke bRowN,mike.brown_3440@example.com,48,,48674,New York
jaNE wIlLIAMs,jane.williams_3382@example.com,51,North,"$68,744",Mumbai
anNa GarcIa,anna.garcia_7502@example.com,56,East,70216,Tokyo
jOhN JOhnsOn,john.johnson_2788@example.com,50,,69652,Bangalore
MIKE MILLeR,mike.miller_3494@example.com,49 years,,78368,Sydney
ANNA JOhNSON,anna.johnson_5986@example.com,43,,98103,Bangalore
JanE brOwn,jane.brown_7425@example.com,27,South,51292,Bangalore
JohN gArcIA,john.garcia_2283@example.com,35 years,,118867,Sydney
ANNA bRown,anna.brown_5515@example.com,47,North,64422,Toronto
bob BrOWn,bob.brown_6394@example.com,23,,104611,Bangalore
ChriS dAvIS,chris.davis_1385@example.com,33 years,West,114273,Berlin
MIKe jones,mike.jones_8311@example.com,21,North,39522,Bangalore
EMiLy SMIth,emily.smith_9641@example.com,51,South,52047,Toronto
ALICE MilLeR,alice.miller_2210@example.com,35,West,88559,Berlin
ALiCe wiLliams,alice.williams_1540@example.com,56,,34476,Mumbai
mIKE BrOwn,mike.brown_2543@example.com,51,West,38145,New York
aNna sMith,anna.smith_9546@example.com,57,West,30767,Bangalore
JAnE dAVis,jane.davis_6508@example.com,42,South,103829,Berlin
MIkE davis,mike.davis_4436@example.com,23,West,86764,Tokyo
MIKE dAViS,mike.davis_8436@example.com,23,North,105310,Berlin
JaNe sMItH,jane.smith_2186@example.com,45,West,42110,New York
CHRIs smITH,chris.smith_6016@example.com,27,West,86569,London
annA jOHNsoN,anna.johnson_8846@example.com,26 years,East,63492,London
ANNa WILLiAMs,anna.williams_9907@example.com,48,,95980,Toronto
bOb Davis,bob.davis_6713@example.com,60,West,30421,Sydney
EMIlY bROwn,emily.brown_6587@example.com,38,East,45137,Bangalore
MIKe JONES,mike.jones_6552@example.com,55,North,100540,Sydney
cHriS joNES,chris.jones_9933@example.com,33,North,114152,Berlin
eMily davis,emily.davis_5496@example.com,36,South,106927,Toronto
eMIly bRowN,emily.brown_4342@example.com,44,,73060,London
aNna DavIS,anna.davis_1771@example.com,31,North,89647,Tokyo
ALiCE broWN,alice.brown_2250@example.com,53,,108429,Toronto
ALIce wilLiAmS,alice.williams_4136@example.com,56,West,119412,Tokyo
jane smIth,jane.smith_9042@example.com,25,,97142,Tokyo
aLICE wiLlIAMS,alice.williams_4487@example.com,23,South,"$116,015",Tokyo
cHriS GarCia,chris.garcia_5138@example.com,48,West,98233,London
ChRis SMitH,chris.smith_1885@example.com,59 years,North,88131,London
MiKE DAviS,mike.davis_4613@example.com,30,South,105057,Mumbai
BoB GArcIA,bob.garcia_3283@example.com,38,West,82668,Mumbai
anNa joHNsON,anna.johnson_8129@example.com,37,North,63744,Toronto
EMily smith,emily.smith_8547@example.com,42,,94174,London
eMIlY JoNEs,emily.jones_4803@example.com,36,,54693,Tokyo
BOb GARCIA,bob.garcia_2214@example.com,24,West,68670,New York
MIKE MiLLER,mike.miller_5786@example.com,29,West,71887,New York
miKE DaVIS,mike.davis_5781@example.com,24,,93628,New York
BOb DAViS,bob.davis_7109@example.com,33,East,74999,Berlin
jANE GaRCiA,jane.garcia_6704@example.com,52,,119024,Toronto
mIKe SMItH,mike.smith_3508@example.com,33,North,94911,Berlin
chris dAVIS,chris.davis_7312@example.com,58,North,56049,Sydney
miKe WILLiAMs,mike.williams_5293@example.com,57,,34691,Bangalore
chRiS GarCIa,chris.garcia_3187@example.com,22,East,58104,Mumbai
AnnA MILLeR,anna.miller_1416@example.com,56,South,113525,Tokyo
eMILy bROwN,emily.brown_3566@example.com,35,,32511,Bangalore
ChRis DaVis,chris.davis_1151@example.com,41,,80240,Mumbai
ChrIS daviS,chris.davis_7613@example.com,28,South,100316 USD,Berlin
eMILY gARCia,emily.garcia_9638@example.com,46,West,34203,Toronto
CHRis wIlLIamS,chris.williams_2691@example.com,22,,108382,New York
anNA joHNSON,anna.johnson_9205@example.com,59,,68108,Toronto
jANE JONes,jane.jones_5394@example.com,38 years,South,119394,Berlin
bOb willIamS,bob.williams_4117@example.com,54,East,48538,London
aNnA johnsON,anna.johnson_6914@example.com,27,West,90413,Mumbai
miKE BrOwN,mike.brown_6183@example.com,46,South,65051,Berlin
BoB wIlLIAMs,bob.williams_7679@example.com,45 years,East,115431,Sydney
CHRIs SmiTH,chris.smith_6869@example.com,46,East,92771,Sydney
eMIlY Jones,emily.jones_4141@example.com,32,South,113539,New York
alIce smIth,alice.smith_4011@example.com,26,,51589,London
JOhn williaMS,john.williams_8709@example.com,34 years,North,118770,Berlin
ANNA MilLeR,anna.miller_7755@example.com,21 years,West,"$86,415",Bangalore
MiKE WiLlIamS,mike.williams_6448@example.com,50,,109819,New York
emily milLeR,emily.miller_1590@example.com,38,South,88178,Sydney
JanE GarcIa,jane.garcia_8212@example.com,19 years,West,92672,London
aNnA Smith,anna.smith_9745@example.com,30,West,40193,Sydney
AlIcE GaRcia,alice.garcia_5501@example.com,39,North,116001,London
JANe MilLeR,jane.miller_9601@example.com,40,,77916,Mumbai
jOhn JohnsoN,john.johnson_5664@example.com,51,South,50822,Tokyo
JohN dAVIS,john.davis_1268@example.com,36,,112058,Toronto
BoB WiLlIamS,bob.williams_2832@example.com,49,North,118666,Mumbai
BoB JonEs,bob.jones_7909@example.com,36,,105162,Toronto
AlICE wIllIams,alice.williams_1768@example.com,38,South,95513,Bangalore
jAnE SMiTh,jane.smith_5480@example.com,29,,99152,New York
mikE WillIAmS,mike.williams_3291@example.com,25,South,53187,Sydney
EMily WILLiAMS,emily.williams_1757@example.com,36,,55019,Tokyo
MIkE Garcia,mike.garcia_9273@example.com,27,,"$91,919",Mumbai
mIkE GArCia,mike.garcia_6062@example.com,24,East,92073,London
ANNA MiLLeR,anna.miller_8032@example.com,31,,44279,New York
JaNe WiLLiAMs,jane.williams_9408@example.com,51,North,90124,Tokyo
aLicE GARcIa,alice.garcia_5435@example.com,33,,52333,New York
BOB joNeS,bob.jones_8675@example.com,21,,115475,London
mIKe BROWN,mike.brown_1665@example.com,43,East,90983,Tokyo
bOB gaRciA,bob.garcia_8674@example.com,53,,86210,Sydney
emILy MiLLer,emily.miller_5706@example.com,31,North,84055,London
jaNE wIlliAms,jane.williams_4478@example.com,56,,41883 USD,Toronto
annA gaRcia,anna.garcia_2540@example.com,44,East,91595,Tokyo
MIkE WILlIAmS,mike.williams_3258@example.com,47,South,109863,Mumbai
mIkE JONeS,mike.jones_3333@example.com,40,South,94217,Toronto
boB wILLiAMS,bob.williams_8324@example.com,25 years,North,67214,Toronto
aLICE DAviS,alice.davis_6007@example.com,36,South,113121,Berlin
Bob jonEs,bob.jones_8829@example.com,23,North,109810,Bangalore
MikE BrowN,mike.brown_6237@example.com,31,,91594,London
bOB MiLLER,bob.miller_4703@example.com,27,North,47840,Toronto
Bob MIllER,bob.miller_4349@example.com,47,,40532,Mumbai
AnnA johNSON,anna.johnson_8321@example.com,44,East,38287,Berlin
John johnSON,john.johnson_4482@example.com,21,,"$67,239",Tokyo
BoB DaviS,bob.davis_2822@example.com,22 years,South,"$101,916",Toronto
